,title,author,release year,synopsis,book length,rating,number of ratings
0,Pride and Prejudice (Paperback),Jane Austen,1813,"Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated",279,4.28,3732237
1,The Fault in Our Stars (Hardcover),John Green,2012,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars",313,4.16,4501032
2,"Red, White & Royal Blue (Paperback)",Casey McQuiston,2019,"Original cover edition of ASIN B07J4LPZRN here.First Son Alex Claremont-Diaz is the closest thing to a prince this side of the Atlantic. With his intrepid sister and the Veep’s genius granddaughter, they’re the White House Trio, a beautiful millennial marketing strategy for his mother, President Ellen Claremont. International socialite duties do have downsides—namely, when",448,4.16,607767
3,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,2005,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",498,3.63,5901197
4,The Hating Game (Paperback),Sally  Thorne,2016,"Nemesis (n.) 1) An opponent or rival whom a person cannot best or overcome;2) A person’s undoing;3) Joshua Templeman.Lucy Hutton and Joshua Templeman hate each other. Not dislike. Not begrudgingly tolerate. Hate. And they have no problem displaying their feelings through a series of ritualistic passive aggressive maneuvers as they sit across from each other, executive assi",365,3.98,537504
5,Beach Read (Paperback),Emily Henry,2020,"A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast.They’re polar op",361,4.06,607628
6,The Kiss Quotient (Kindle Edition),Helen Hoang,2018,"A heartwarming and refreshing debut novel that proves one thing: there's not enough data in the world to predict what will make your heart tick.Stella Lane thinks math is the only thing that unites the universe. She comes up with algorithms to predict customer purchases—a job that has given her more money than she knows what to do with, and way less experience in the datin",323,3.94,331121
7,It Ends with Us (Kindle Edition),Colleen Hoover,2016,"Sometimes it is the one who loves you who hurts you the most.Lily hasn’t always had it easy, but that’s never stopped her from working hard for the life she wants. She’s come a long way from the small town in Maine where she grew up — she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle",385,4.38,1641804
8,The Love Hypothesis (Paperback),Ali Hazelwood,2021,"As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships--but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist,",356,4.29,724017
9,The Unhoneymooners (Paperback),Christina Lauren,2019,"Olive is always unlucky: in her career, in love, in…well, everything. Her identical twin sister Ami, on the other hand, is probably the luckiest person in the world. Her meet-cute with her fiancé is something out of a romantic comedy (gag) and she’s managed to finance her entire wedding by winning a series of Internet contests (double gag). Worst of all, she’s forcing Oliv",400,3.98,525789
10,People We Meet on Vacation (Paperback),Emily Henry,2021,"Two best friends. Ten summer trips. One last chance to fall in love.Poppy and Alex. Alex and Poppy. They have nothing in common. She’s a wild child; he wears khakis. She has insatiable wanderlust; he prefers to stay home with a book. And somehow, ever since a fateful car share home from college many years ago, they are the very best of friends. For most of the year they li",373,3.97,658406
11,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011,"When literature student Anastasia Steele goes to interview young entrepreneur Christian Grey, she encounters a man who is beautiful, brilliant, and intimidating. The unworldly, innocent Ana is startled to realize she wants this man and, despite his enigmatic reserve, finds she is desperate to get close to him. Unable to resist Ana’s quiet beauty, wit, and independent spiri",356,3.66,2327268
12,"Me Before You (Me Before You, #1)",Jojo Moyes,2012,"From the #1 New York Times bestselling author of The Giver of Stars, discover the love story that captured over 20 million hearts in Me Before You, After You, and Still Me.They had nothing in common until love gave them everything to lose . . .Louisa Clark is an ordinary girl living an exceedingly ordinary life—steady boyfriend, close family—who has barely been farther afi",369,4.26,1436094
13,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,2006,"There is an alternate cover edition for ISBN13 9780316160193 here. I knew we were both in mortal danger. Still, in that instant, I felt well. Whole. I could feel my heart racing in my chest, the blood pulsing hot and fast through my veins again. My lungs filled deep with the sweet scent that came off his skin. It was like there had never been any hole in my chest. I was pe",563,3.57,1734961
14,Eleanor & Park (Hardcover),Rainbow Rowell,2012,"“Bono met his wife in high school,” Park says.“So did Jerry Lee Lewis,” Eleanor answers.“I’m not kidding,” he says.“You should be,” she says, “we’re 16.”“What about Romeo and Juliet?”“Shallow, confused, then dead.”“I love you,” Park says.“Wherefore art thou,” Eleanor answers.“I’m not kidding,” he says.“You should be.”Set over one school year in 1986, Eleanor & Park is the ",328,3.97,1066165
15,"Outlander (Outlander, #1)",Diana Gabaldon,1991,"The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743. Hurled back in t",850,4.25,957461
16,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,2008,"""Don't be afraid,"" I murmured. ""We belong together.""I was abruptly overwhelmed by the truth of my own words. This moment was so perfect, so right, there was no way to doubt it.His arms wrapped around me,holding me against him....It felt like every nerve ending in my body was a live wire.""Forever,"" he agreed.WHEN YOU LOVED THE ONE WHO WAS KILLING YOU, IT LEFT YOU NO OPTIONS",756,3.72,1544376
17,Ugly Love (Kindle Edition),Colleen Hoover,2014,"When Tate Collins meets airline pilot Miles Archer, she knows it isn’t love at first sight. They wouldn’t even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn’t want love, she doesn’t have time for love, s",337,4.22,929379
18,"The Notebook (The Notebook, #1)",Nicholas Sparks,1996,"Set amid the austere beauty of the North Carolina coast begins the story of Noah Calhoun, a rural Southerner recently returned from the Second World War. Noah is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. Unable to find her, yet unwilling to forget the summ",227,4.13,1537458
19,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,2015,"When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world.At least, he’s not a beast all the time.As she adapts to her new ",419,4.19,1141409
20,Book Lovers (Hardcover),Emily Henry,2022,"One summer. Two rivals. A plot twist they didn't see coming....Nora Stephens’ life is books—she’s read them all—and she is not that type of heroine. Not the plucky one, not the laidback dream girl, and especially not the sweetheart. In fact, the only people Nora is a heroine for are her clients, for whom she lands enormous deals as a cutthroat literary agent, and her belov",384,4.28,390789
21,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,2019,"Chloe Brown is a chronically ill computer geek with a goal, a plan, and a list. After almost—but not quite—dying, she’s come up with six directives to help her “Get a Life”, and she’s already completed the first: finally moving out of her glamourous family’s mansion. The next items?• Enjoy a drunken night out.• Ride a motorcycle.• Go camping.• Have meaningless but thorough",373,3.85,138781
22,Jane Eyre (Paperback),Charlotte Brontë,1847,"Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbiddin",532,4.14,1896342
23,The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,2017,"Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now?Monique is not exactly on top of the world. Her husband has left her, and her professional life is going now",389,4.47,1520986
24,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,2014,"To All the Boys I’ve Loved Before is the story of Lara Jean, who has never openly admitted her crushes, but instead wrote each boy a letter about how she felt, sealed it, and hid it in a box under her bed. But one day Lara Jean discovers that somehow her secret box of letters has been mailed, causing all her crushes from her past to confront her about the letters: her firs",355,4.07,739461
25,"The Duke and I (Bridgertons, #1)",Julia Quinn,2000,"Librarian note: See alternate cover editions here and here.The Duke and I is a romance set in the Regency era.In the ballrooms and drawing rooms of Regency London, rules abound. From their earliest days, children of aristocrats learn how to address an earl and curtsey before a prince—while other dictates of the ton are unspoken yet universally understood. A proper duke sho",384,3.82,356433
26,"The Deal (Off-Campus, #1)",Elle Kennedy,2015,"An alternative cover edition can be found here.She's about to make a deal with the college bad boy...Hannah Wells has finally found someone who turns her on. But while she might be confident in every other area of her life, she's carting around a full set of baggage when it comes to sex and seduction. If she wants to get her crush's attention, she'll have to step out of he",342,4.27,431337
27,"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,2021,Catalina Martín desperately needs a date to her sister’s wedding. Especially since her little white lie about her American boyfriend has spiralled out of control. Now everyone she knows—including her ex and his fiancée—will be there and eager to meet him.She only has four weeks to find someone willing to cross the Atlantic and aid in her deception. New York to Spain is no ,487,3.97,377868
28,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,2011,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their",532,3.83,837476
29,"The Flatshare (The Flatshare, #1)",Beth O'Leary,2019,"
Tiffy and Leon share a flatTiffy and Leon share a bedTiffy and Leon have never met…
Tiffy Moore needs a cheap flat, and fast. Leon Twomey works nights and needs cash. Their friends think they’re crazy, but it’s the perfect solution: Leon occupies the one-bed flat while Tiffy’s at work in the day, and she has the run of the place the rest of the time. But with obsessive ",394,4.04,276885
30,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,2010,"Anna is looking forward to her senior year in Atlanta, where she has a great job, a loyal best friend, and a crush on the verge of becoming more. Which is why she is less than thrilled about being shipped off to boarding school in Paris--until she meets Étienne St. Clair. Smart, charming, beautiful, Étienne has it all...including a serious girlfriend. But in the City of Li",372,3.99,429112
31,The Time Traveler's Wife (ebook),Audrey Niffenegger,2004,"This is the extraordinary love story of Clare and Henry, who met when Clare was six and Henry was thirty-six, and were married when Clare was twenty-two and Henry was thirty. Impossible but true, because Henry suffers from a rare condition where his genetic clock periodically resets and he finds himself pulled suddenly into his past or future. In the face of this force the",537,3.99,1703714
32,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,2011,"The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand. Travis Maddox, lean, ",319,4.04,628815
33,Romeo and Juliet (Mass Market Paperback),William Shakespeare,1597,"In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordina",281,3.74,2376465
34,"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,2019,"Khai Diep has no feelings. Well, he feels irritation when people move his things or contentment when ledgers balance down to the penny, but not big, important emotions—like grief. And love. He thinks he’s defective. His family knows better—that his autism means he just processes emotions differently. When he steadfastly avoids relationships, his mother takes matters into h",296,3.87,131144
35,"The Elite (The Selection, #2)",Kiera Cass,2013,"The Selection began with thirty-five girls. Now with the group narrowed down to the six Elite, the competition to win Prince Maxon's heart is fiercer than ever—and America is still struggling to decide where her heart truly lies. Is it with Maxon, who could make her life a fairy tale? Or with her first love, Aspen?America is desperate for more time. But the rest of the Eli",336,3.97,645722
36,"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,2000,"1814 promises to be another eventful season, but not, this author believes, for Anthony Bridgerton, London's most elusive bachelor, who has shown no indication that he plans to marry.And in truth, why should he? When it comes to playing the consummate rake, nobody does it better...—Lady Whistledown's Society Papers, April 1814But this time, the gossip columnists have it wr",354,4.04,259483
37,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,2016,"The seductive and stunning #1 New York Times bestselling sequel to Sarah J. Maas’s spellbinding A Court of Thorns and Roses.Feyre has undergone more trials than one human woman can carry in her heart. Though she’s now been granted the powers and lifespan of the High Fae, she is haunted by her time Under the Mountain and the terrible deeds she performed to save the lives of",624,4.62,816759
38,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012,"When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian’s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.Now, Ana and Christian hav",579,3.84,795618
39,One Last Stop (Paperback),Casey McQuiston,2021,"From the New York Times bestselling author of Red, White & Royal Blue comes a new romantic comedy that will stop readers in their tracks...For cynical twenty-three-year-old August, moving to New York City is supposed to prove her right: that things like magic and cinematic love stories don’t exist, and the only smart way to go through life is alone. She can’t imagine how w",418,4.01,154210
40,Wuthering Heights (Paperback),Emily Brontë,1847,You can find the redesigned cover of this edition HERE.At the centre of this novel is the passionate love between Catherine Earnshaw and Heathcliff - recounted with such emotional intensity that a plain tale of the Yorkshire moors acquires the depth and simplicity of ancient tragedy.This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. ,464,3.88,1606402
41,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,2018,"Charlie, a highly-strung, openly gay over-thinker, and Nick, a cheerful, soft-hearted rugby player, meet at a British all-boys grammar school. Friendship blooms quickly, but could there be something more...?Charlie Spring is in Year 10 at Truham Grammar School for Boys. The past year hasn't been too great, but at least he's not being bullied anymore. Nick Nelson is in Year",288,4.53,430677
42,Sense and Sensibility (Paperback),Jane Austen,1811,"Alternate cover edition of ISBN 9780141439662'The more I know of the world, the more am I convinced that I shall never see a man whom I can really love. I require so much!'Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her",409,4.08,1092091
43,A Walk to Remember (Kindle Edition),Nicholas Sparks,1999,"There was a time when the world was sweeter...when the women in Beaufort, North Carolina, wore dresses, and the men donned hats...when something happened to a seventeen-year-old boy that would change his life forever. Every April, when the wind blows in from the sea and mingles with the scent of lilacs, Landon Carter remembers his last year at Beaufort High. It was 1958, a",215,4.19,763488
44,"The One (The Selection, #3)",Kiera Cass,2014,"The time has come for one winner to be crowned.When she was chosen to compete in the Selection, America never dreamed she would find herself anywhere close to the crown—or to Prince Maxon's heart. But as the end of the competition approaches, and the threats outside the palace walls grow more vicious, America realizes just how much she stands to lose—and how hard she'll ha",323,4.17,574496
45,Fangirl (Kindle Edition),Rainbow Rowell,2013,"A coming-of-age tale of fanfiction, family, and first love.Cath is a Simon Snow fan. Okay, the whole world is a Simon Snow fan.... But for Cath, being a fan is her life—and she's really good at it. She and her twin, Wren, ensconced themselves in the Simon Snow series when they were just kids; it's what got them through their mother leaving.Reading. Rereading. Hanging out i",483,3.98,695972
46,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,2021,"Piper Bellinger is fashionable, influential, and her reputation as a wild child means the paparazzi are constantly on her heels. When too much champagne and an out-of-control rooftop party lands Piper in the slammer, her stepfather decides enough is enough. So he cuts her off, and sends Piper and her sister to learn some responsibility running their late father’s dive bar.",397,4.07,255193
47,Persuasion (Paperback),Jane Austen,1817,"Persuasion is Jane Austen's last completed novel. She began it soon after she had finished Emma, completing it in August 1816. She died, aged 41, in 1817; Persuasion was published in December that year (but dated 1818). Persuasion is linked to Northanger Abbey not only by the fact that the two books were originally bound up in one volume and published together, but also be",249,4.15,620545
48,Emma (Paperback),Jane Austen,1815,"An alternative cover of this ISBN can be found here.Emma Woodhouse is one of Austen's most captivating and vivid characters. Beautiful, spoilt, vain and irrepressibly witty, Emma organizes the lives of the inhabitants of her sleepy little village and plays matchmaker with devastating effect.",474,4.04,784651
49,The Song of Achilles (Paperback),Madeline Miller,2011,"Alternate cover edition of ISBN 9780062060624.Achilles, ""the best of all the Greeks,"" son of the cruel sea goddess Thetis and the legendary king Peleus, is strong, swift, and beautiful, irresistible to all who meet him. Patroclus is an awkward young prince, exiled from his homeland after an act of shocking violence. Brought together by chance, they forge an inseparable bon",378,4.38,950167
50,"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,2020,"Talia Hibbert returns with another charming romantic comedy about a young woman who agrees to fake date her friend after a video of him “rescuing” her from their office building goes viral...Danika Brown knows what she wants: professional success, academic renown, and an occasional roll in the hay to relieve all that career-driven tension. But romance? Been there, done tha",400,4.06,75803
51,"An Offer From a Gentleman (Bridgertons, #3)",Julia Quinn,2001,"Will she accept his offer before the clock strikes midnight?Sophie Beckett never dreamed she'd be able to sneak into Lady Bridgerton's famed masquerade ball—or that ""Prince Charming"" would be waiting there for her! Though the daughter of an earl, Sophie has been relegated to the role of servant by her disdainful stepmother. But now, spinning in the strong arms of the debon",390,3.95,192481
52,The Night Circus (Hardcover),Erin Morgenstern,2011,"The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. But behind the scenes, a fierce competition is underway—a duel between two young magic",387,4.03,849454
53,Love and Other Words (Hardcover),Christina Lauren,2018,"
The story of the heart can never be unwritten.
Macy Sorensen is settling into an ambitious if emotionally tepid routine: work hard as a new pediatrics resident, plan her wedding to an older, financially secure man, keep her head down and heart tucked away.But when she runs into Elliot Petropoulos—the first and only love of her life—the careful bubble she’s constructed b",432,4.35,215451
54,"Everything, Everything (Hardcover)",Nicola Yoon,2015,"My disease is as rare as it is famous. It’s a form of Severe Combined Immunodeficiency, but basically, I’m allergic to the world. I don’t leave my house, have not left my house in fifteen years. The only people I ever see are my mom and my nurse, Carla.But then one day, a moving truck arrives. New next door neighbors. I look out the window, and I see him. He’s tall, lean a",312,4.0,539107
55,"Hopeless (Hopeless, #1)",Colleen Hoover,2012,"Sometimes discovering the truth can leave you more hopeless than believing the lies…That’s what seventeen-year-old Sky realizes after she meets Dean Holder. A guy with a reputation that rivals her own and an uncanny ability to invoke feelings in her she’s never had before. He terrifies her and captivates her all in the span of just one encounter, and something about the wa",410,4.29,383899
56,The Wall of Winnipeg and Me (Kindle Edition),Mariana Zapata,2016,Vanessa Mazur knows she's doing the right thing. She shouldn't feel bad for quitting. Being an assistant/housekeeper/fairy godmother to the top defensive end in the National Football Organization was always supposed to be temporary. She has plans and none of them include washing extra-large underwear longer than necessary.But when Aiden Graves shows up at her door wanting ,537,4.27,181562
57,"Bared to You (Crossfire, #1)",Sylvia Day,2012,"From #1 New York Times bestselling author Sylvia Day comes the provocative masterstroke of abandon and obsession that redefined the meaning of desire and became a global phenomenon...Gideon Cross came into my life like lightning in the darkness. He was beautiful and brilliant, jagged and white-hot. I was drawn to him as I'd never been to anything or anyone in my life. I cr",352,4.16,498707
58,November 9 (Paperback),Colleen Hoover,2015,"Fallon meets Ben, an aspiring novelist, the day before her scheduled cross-country move. Their untimely attraction leads them to spend Fallon’s last day in L.A. together, and her eventful life becomes the creative inspiration Ben has always sought for his novel. Over time and amidst the various relationships and tribulations of their own separate lives, they continue to me",310,4.29,532191
59,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,2015,"Lara Jean didn’t expect to really fall for Peter.They were just pretending. Until they weren’t. And now Lara Jean has to learn what it's like to be in a real relationship and not just a make-believe one.But when another boy from her past returns to her life, Lara Jean’s feelings for him suddenly return too. Can a girl be in love with two boys at once?In this charming and h",337,4.05,321648
60,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007,"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is not",485,4.08,1860270
61,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,2017,"The epic third novel in the #1 New York Times bestselling Court of Thorns and Roses series by Sarah J. Maas.Feyre has returned to the Spring Court, determined to gather information on Tamlin's actions and learn what she can about the invading king threatening to bring her land to its knees. But to do so she must play a deadly game of deceit. One slip could bring doom not o",699,4.43,655054
62,"The Wedding Date (The Wedding Date, #1)",Jasmine Guillory,2018,"A groomsman and his last-minute guest are about to discover if a fake date can go the distance in a fun and flirty debut novel.Agreeing to go to a wedding with a guy she gets stuck with in an elevator is something Alexa Monroe wouldn't normally do. But there's something about Drew Nichols that's too hard to resist.On the eve of his ex's wedding festivities, Drew is minus a",317,3.6,124943
63,Josh and Hazel's Guide to Not Dating (Paperback),Christina Lauren,2018,"Hazel Camille Bradford knows she’s a lot to take—and frankly, most men aren’t up to the challenge. If her army of pets and thrill for the absurd don’t send them running, her lack of filter means she’ll say exactly the wrong thing in a delicate moment. Their loss. She’s a good soul in search of honest fun.Josh Im has known Hazel since college, where her zany playfulness pro",309,4.01,117753
64,"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn,2002,"Everyone knows that Colin Bridgerton is the most charming man in London. Penelope Featherington has secretly adored her best friend's brother for...well, it feels like forever. After half a lifetime of watching Colin Bridgerton from afar, she thinks she knows everything about him, until she stumbles across his deepest secret...and fears she doesn't know him at all.Colin Br",370,3.96,188360
65,"Divergent (Divergent, #1)",Veronica Roth,2011,"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the",487,4.16,3540949
66,The Soulmate Equation (Paperback),Christina Lauren,2021,"Single mom Jess Davis is a data and statistics wizard, but no amount of number crunching can convince her to step back into the dating world. After all, her father was never around, her hard-partying mother disappeared when she was six, and her ex decided he wasn’t “father material” before her daughter was even born. Jess holds her loved ones close but working constantly t",416,4.04,136796
67,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,2015,"Sixteen-year-old and not-so-openly gay Simon Spier prefers to save his drama for the school musical. But when an email falls into the wrong hands, his secret is at risk of being thrust into the spotlight. Now Simon is actually being blackmailed: if he doesn’t play wingman for class clown Martin, his sexual identity will become everyone’s business. Worse, the privacy of Blu",303,4.2,389450
68,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008,"Could you survive on your own in the wild, with every one out to make sure you don't live to see the morning?In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages ",374,4.32,7591926
69,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,2005,"The only purebred vampire left on the planet and the leader of the Black Dagger Brotherhood, Wrath has a score to settle with the slayers who killed his parents centuries ago.But when his most trusted fighter is killed -- orphaning a half-breed daughter unaware of her heritage or her fate -- Wrath must put down his dagger and usher the beautiful female into another world.R",393,4.16,320970
70,"The Bromance Book Club (Bromance Book Club, #1)",Lyssa Kay Adams,2019,"The first rule of book club: You don't talk about book club.Nashville Legends second baseman Gavin Scott's marriage is in major league trouble. He’s recently discovered a humiliating secret: his wife Thea has always faked the Big O. When he loses his cool at the revelation, it’s the final straw on their already strained relationship. Thea asks for a divorce, and Gavin real",352,3.91,77742
